start	end	text
1185020	1187500	Let us look at the predictive analytics tab.
1187500	1192460	The data on this screen illustrates the capability of guidewire predictive analytics.
1192460	1196100	Embedded data and analytics ensure that you know what's working, what's not, and what
1196100	1197100	to do next.
1197100	1201580	Currently, you see data based on pre-built models that are embedded into the workflow.
1201580	1204900	These represent one approach to predictive analytics.
1204900	1209940	Guidewire also supports a BYOM or bring your own models approach by enabling deployment,
1209940	1215020	integration, and monitoring of predictive models created using third party tools.
1215020	1218900	This dashboard shows an example of the risk models that we provide.
1218900	1222580	Profitability, customer retention, and expense reduction.
1222580	1226980	These analytics can be used as suggestions or they can provide input for automation,
1226980	1230420	which is the case for the inspection contingency workflow.
1230420	1234380	Here you can see that a contingency has automatically been attached to the policy based on these
1234380	1243060	predictive analytics.
1243060	1247500	In the demonstration, the predictive analytics dashboard showed an example of how real-time
1247500	1251540	predictive insights are embedded in guidewire core systems.
1251540	1255220	Predictive analytics involves building models to predict future results.
1255220	1259340	It provides guidance to frontline decision makers while continuously measuring business
1259340	1260340	value.
1261260	1264980	Predictive analytics for profitability helps by improving rating sophistication and granularity
1264980	1268220	while identifying and addressing pricing inaccuracies.
1268220	1271220	It improves underwriting profitability.
1271220	1274700	Predictive analytics for claims helps better manage claim indemnity and loss adjustment
1274700	1278420	expenses.
1278420	1283540	In this section, Christine Kraft, an underwriter, took us on a brief tour of policy center,
1283540	1285700	where she handled an underwriting issue.
1285700	1289940	We also visited the predictive analytics dashboard and viewed a contingency that was automatically
1289940	1293740	attached to the policy based on these predictive analytics.
1293740	1298500	The next tour stop is, customer engage account management.
1298500	1302900	Customer engage account management is a digital, self-service application that enables customers
1302900	1306740	to view and manage every aspect of their insurance account.
1306740	1311140	Customers have clear visibility into claim handling processes and operations.
1311140	1315540	Customer engage enriches the overall claims experience for policy holders.
1315540	1320100	Thanks to seamless integration with policy center, claim center, and billing center,
1320100	1324980	customers can view their invoices, policies, and claims, manage bills, make payments, and
1324980	1327140	manage payment schedules.
1327140	1333140	As you will see in our demonstration, a customer can file a claim and update personal information.
1333140	1337180	In the previous demonstrations, we have looked at the policy life cycle from the viewpoint
1337180	1339700	of an agent and then an underwriter.
1339700	1343780	In this next demonstration, we will switch to the customer perspective as we take a tour
1344020	1346020	of customer engage account management.
1346020	1350180	Meet Ben Wright, a customer who needs to file a claim.
1350180	1354820	Ben Wright of Wright Construction begins by logging into customer engage account management.
1354820	1364020	Wright Construction is the same account we have been working with in the previous demonstrations.
1364020	1366820	Ben's home page is the account summary screen.
1366820	1370420	This screen was designed to answer the main questions that customers have when they call
1370420	1372820	a customer service representative.
1372820	1374260	What is my balance?
1374260	1375860	Is anything past due?
1375860	1377780	If so, can I pay it?
1377780	1379620	And when is my next bill?
1379620	1383940	Answers to these questions are clearly displayed across the top of Ben's home screen.
1383940	1386820	Ben can also see all policies held by his account.
1386820	1391700	The account summary screen is another example of the seamless integration of policy, claims,
1391700	1392900	and billing functionality.
1394980	1399140	From this application, Ben can file a first notice of loss for a claim.
1399140	1400340	He can purchase insurance.
1400740	1402820	He can make payments.
1405140	1408900	On the billing summary, Ben can view the billing and payment details for each of the
1408900	1410740	Wright Construction policies.
1410740	1413380	He can also make a payment or set up automatic payments.
1414180	1418260	Similarly, the claims tab provides a list of hyperlinked claim numbers for claims
1418260	1422580	filed by Wright Construction with the status of each claim and the number of the related policy.
1423380	1427060	Ben returns to his home screen and locates the most recent policy.
1427060	1430020	He clicks, file a claim to start a first notice of loss.
1431300	1437220	Guidewire empowers insurers, placing billing, policy, and claims functionality at their fingertips.
1438740	1439940	Here is the new claim tab.
1440580	1445300	Notice the loss date is pre-filled with today's date, and the policy number is pre-selected.
1445300	1449700	After Ben clicks next, the claim information work tree is displayed on the left side,
1449700	1452340	showing the steps of this wizard-driven workflow.
1452340	1456500	The next step is for Ben to describe what happened, why he is filing a claim.
1456500	1459540	He selects the loss cause and enters the date of notice.
1459620	1462340	The important point here is not the details of this claim,
1462340	1465540	but the ease with which an insured is able to capture the claim details.
1469300	1471300	Ben goes on to select the affected building.
1472100	1476580	As anyone who has taken a first notice of loss will attest, this is a stressful situation.
1477140	1481780	Customer engage is designed to make this process as easy and painless as possible.
1481780	1483380	Ben has entered the claim details.
1485140	1489300	He selects the address from a list of addresses associated with his account.
1489300	1494260	In the next step, Ben will have the opportunity to upload any pictures or supporting documents.
1494260	1497780	If there are witnesses or other third parties, he can add them here.
1497780	1500500	Ben simply adds himself as a contact and clicks next.
1510100	1513700	The new claim summary provides Ben the opportunity to make sure the information
1513700	1515220	is correct and complete.
1515220	1516820	And he is ready to submit the claim.
1520260	1522820	The claim has been successfully submitted.
1522820	1525220	A unique claim number has been attached to the claim.
1526020	1529300	Behind the scenes, the workflow has automatically triaged the claim
1529300	1532660	and assigned it to a claims adjuster based on the characteristics of the claim.
1533220	1537220	Productivity is improved by ensuring the right claim to assign to the right adjuster.
1539700	1543060	In this demonstration, Ben Wright, a policyholder,
1543060	1546100	filed a claim using customer engage account management.
1546180	1549300	In the next section, the adjuster who was assigned to the new claim
1549300	1550980	will examine the claim and claim center.
1556020	1559460	Next stop on the tour, claim center and the guidewire cloud platform.
1561860	1566820	Guidewire claim center is the PNC industry's most trusted claims management solution.
1566820	1570580	Claim center manages the entire claims process from first notice of loss
1570580	1572740	through a execution of financial transactions.
1573540	1577940	With claim center, your claims teams have real time access to the information they need
1577940	1579060	when they need it.
1579060	1582980	When Scott logs into claim center, he also has instant access to relevant
1582980	1587140	information stored in policy center, billing center, and contact manager
1587140	1590020	thanks to the seamless integration of all insurance suite products.
1590820	1595380	Claim center enables claims automation to free up your resources to focus on complex
1595380	1600580	claims and easily defines when and how exposures, reserves and activities are created.
1600580	1604820	Claim center ensures compliance with corporate policies and claims best practices
1604820	1606020	throughout your organization.
1609060	1611780	In the previous demonstration, we met Ben Wright,
1611780	1615940	a policyholder who filed a claim using customer engage account management.
1615940	1619860	Based on the claim characteristics, automated workflow has assigned Ben's first
1619860	1622340	notice of loss to Scott Henson, a claims adjuster.
1623060	1626740	In this next demonstration, the persona of Scott, a claim adjuster,
1626740	1628500	will view the new claim and claim center.
1631140	1634260	Scott logs into claim center.
1634260	1637540	Like policy center, claim center is a role based application.
1638100	1642180	Everything that follows from screen flow to data access is based on Scott's role as a
1642180	1643060	claims adjuster.
1643780	1648020	Scott immediately sees two activities on his summary screen that are related to the first
1648020	1652180	notice of loss that Ben filed just minutes ago from customer engage account management.
1652900	1657460	Before Scott addresses the new claim, let us take a few minutes for a brief tour of claim center.
1657780	1662740	As in policy center, the actions menu and claims center is dynamic, varying the menu options that
1662740	1666340	are available to Scott based on his permissions and on the current context.
1666340	1670740	The sidebar provides additional menu links for quick access to activities,
1670740	1674980	claims, exposures, subrogations, pending adjustments, and so on.
1675620	1680580	Across the top in the tab bar, Scott can start a first notice of loss or search for a claim.
1683380	1685380	The team tab, which is available to Scott,
1685860	1690580	the team tab, which is available to managers and supervisors, provides a visual management
1690580	1694580	tool for managing groups that Scott supervises and any subgroups of those groups.
1695300	1698660	At this point, Scott clicks the claim number to examine the new claim.
1699300	1703460	Of course, since this is a new claim, there is not much detail yet.
1703460	1707300	The summary screen provides an overview of how the claim is performing.
1707300	1710100	In the basics area, you see the associated target,
1710100	1713140	which is calculated by a rule and is specific to the insurer.
1713940	1717140	If there were a potential large loss associated with the loss,
1717140	1719700	a high risk indicator would be displayed in the top right.
1720660	1722980	Currently, no exposures are listed for the claim.
1723780	1727620	Guidewire provides an automated exposure and reserve creation capability.
1728260	1730580	Services attached to the claim would be listed here.
1734340	1738980	Scott views the planned activities, which are based on business logic and are part of the claims tree.
1738980	1745060	Notice the health metrics tab, which shows several health metrics that have been run
1745060	1748340	against the claim and indicate how efficiently the claim is being processed.
1749860	1753140	The policy tab gives Scott a view into the policy related to the claim.
1753700	1758420	He can see the locations, coverages, and limits without having to switch back and forth between
1758420	1759940	claim center and policy center.
1762820	1765380	Claim financials are available on the financials tab.
1766020	1768980	Of course, for a new claim, there is not much to show yet.
1771780	1775860	Starting with the first demonstration and ending with this demonstration in claim center,
1775860	1778340	you have now walked through a day in the life of a policy.
1780900	1784180	The final stop on our tour of Guidewire Cloud is Explore.
1784180	1788980	You will see what Guidewire provides from a business intelligence and operational reporting standpoint.
1789540	1794020	Explore is a cloud-native data analytics and visualization application that enables you to
1794020	1797300	explore data from your Guidewire insurance suite applications.
1797300	1801460	Each Explore dashboard includes several visualizations that represent your data.
1802260	1808180	With Explore, you can analyze your data to discover new insights, visualize and collaborate
1808180	1812180	to improve business effectiveness, accelerate decision-making,
1812260	1817300	Explore streams data from core systems and other sources into a scalable data infrastructure to
1817300	1820900	provide near real-time insights and enable smart business decisions.
1822660	1827700	For our final demonstration, Sonya Weber, an insurance manager, will take you on a tour of
1827700	1829540	Guidewire Live Analytics and Explore.
1833860	1838340	Explore is a cloud-only service that provides 10 pre-built operational dashboards,
1838980	1845300	which provide valuable near-real-time insights into claim and policy performance.
1846020	1850980	As an insurance manager, Sonya needs up-to-the-minute feedback on how claims are performing.
1850980	1855940	The first tab Sonya sees is Claim Center Open Inventory Management, which provides an operational
1855940	1860980	overview of how the claim process is performing. The dashboard is fed in near-real-time from our
1860980	1864980	data lake based on claims, and can be used to optimize your claims operations.
1865620	1870020	Sonya sees there are currently 207 open claims, with a total incurred of more than
1870020	1874660	three and a half million dollars. She looks over to the right to view various claim metrics,
1874660	1879620	such as open claims by segment and open claims by assigned group. In the lower left,
1879620	1885140	is claim volume by user which is ordered by overdue activities. These, and other metrics,
1885140	1890580	help Sonya optimize her everyday claims management. An important feature of Explore is the ability to
1890580	1896340	export the data from any of the dashboards in raw or CSV format. Sonya can easily send the charts
1896340	1901220	and figures displayed on her dashboard to a downstream reporting system. Another dashboard
1901220	1905300	that aids Sonya in assessing claim performance is the Claim Center Activity Workflow.
1907380	1911460	Here she can see at a glance activity metrics, such as the number of activities,
1911460	1915060	with metrics on average hours create to close in subject of the activity.
1915860	1921940	Here is a breakdown of activities by assigned user. Explore also features several policy reports,
1921940	1925860	grouped under two categories, underwriting conversion and underwriting efficiency.
1930100	1934260	The active submissions dashboard presents an analysis of open submissions.
1934260	1939220	The horizontal toolbar along the top consists of dynamic filters that enable users to update
1939220	1944740	the display by effective date, company, line of business, and product. A filter can also be added
1944740	1953780	to bring in criteria from the product model. Let us take a brief look at underwriting efficiency.
1958660	1963620	Here you can see there are 218 underwriting issues with an average of two days to close.
1963620	1968660	The chart on the right shows underwriting issues by type. Maybe Sonya has a particular
1968660	1972340	underwriting issue that is being flagged significantly more often than the rest,
1972340	1975700	causing a processing bottleneck for the straight through processing workflow.
1976260	1979780	Sonya can see in near real time, the issue that is causing the bottleneck.
1980340	1983540	Scrolling down, we see the underwriting issues search report.
1987860	1993060	And above the search list is a reminder that Sonya can export the data in raw or CSV format.
1995300	1997860	She can also create ad hoc operational reports.
2002820	2006660	In this demonstration, Sonya Weber and Insurance Manager gave you a
2006660	2010980	brief tour of Guidewire Live Analytics. You learned how to explore Stream's data
2010980	2015780	from Insurance suite databases and provides near real-time insights that enable smart business
2015780	2021140	decisions. In this demonstration, Sonya Weber and Insurance Manager gave you a
2021140	2025300	brief tour of Guidewire Live Analytics. You learned how to explore Stream's data
2025300	2030180	from Insurance suite databases and provides near real-time insights that enable smart business
2030180	2034880	decisions.
2034880	2037980	You have completed the course, Guidewire Cloud Overview.
2037980	2044100	You should now be able to describe the Guidewire Cloud applications, producer engage, policy
2044100	2048700	center, customer engage, claim center, and explorer.
2048700	2053620	Also, you should be able to explain how Guidewire Cloud applications help insurers meet these
2053620	2057940	three essential imperatives, engage customers, innovate, and grow efficiently.
